speaker_id,vot,word,consonant,consonant2
M01,0.019488,ahdan,-0.5,t
M01,0.027813,idi,-0.5,t
M01,0.041099,ata,0.5,t̻
M01,0.066922,itik,0.5,t̻
M01,0.038918,ata,0.5,t̻
M01,0.030646,ahdan,-0.5,t
M01,0.033775,idi,-0.5,t
M01,0.040559,itik,0.5,t̻
M01,0.038585,idi,-0.5,t
M01,0.044263,ata,0.5,t̻
M01,0.021576,ahdan,-0.5,t
M01,0.054453,itik,0.5,t̻
M02,0.037783,ata,0.5,t̻
M02,0.03457,itik,0.5,t̻
M02,0.037969,ata,0.5,t̻
M02,0.012243,ahdan,-0.5,t
M02,0.010861,idi,-0.5,t
M02,0.027398,itik,0.5,t̻
M02,0.008536,idi,-0.5,t
M02,0.0374,ata,0.5,t̻
M02,0.009542,ahdan,-0.5,t
M02,0.030956,itik,0.5,t̻
F01,0.017074,ahdan,-0.5,t
F01,0.012057,idi,-0.5,t
F01,0.032012,ata,0.5,t̻
F01,0.041555,itik,0.5,t̻
F01,0.034778,ata,0.5,t̻
F01,0.009029,ahdan,-0.5,t
F01,0.016572,idi,-0.5,t
F01,0.046219,itik,0.5,t̻
F01,0.013247,idi,-0.5,t
F01,0.037525,ata,0.5,t̻
F01,0.007661,ahdan,-0.5,t
F01,0.044553,itik,0.5,t̻
M03,0.00967,ahdan,-0.5,t
M03,0.020026,idi,-0.5,t
M03,0.057009,ata,0.5,t̻
M03,0.064564,itik,0.5,t̻
M03,0.008266,ahdan,-0.5,t
M03,0.015513,idi,-0.5,t
M03,0.062227,itik,0.5,t̻
M03,0.068175,ata,0.5,t̻
M03,0.016936,idi,-0.5,t
M03,0.071464,ata,0.5,t̻
M03,0.014175,ahdan,-0.5,t
M03,0.055829,itik,0.5,t̻
F02,0.006991,ahdan,-0.5,t
F02,0.001625,idi,-0.5,t
F02,0.051842,ata,0.5,t̻
F02,0.047468,itik,0.5,t̻
F02,0.037928,ata,0.5,t̻
F02,0.010702,ahdan,-0.5,t
F02,0.002138,idi,-0.5,t
F02,0.05412,itik,0.5,t̻
F02,0.001435,idi,-0.5,t
F02,0.037092,ata,0.5,t̻
F02,0.009145,ahdan,-0.5,t
F02,0.044937,itik,0.5,t̻
